學年度,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
103,21,臺南市,213303,市立南寧高中,27,46,0,0,2,8,12,221,206,79,51
103,21,臺南市,213316,市立土城高中,20,36,0,0,3,6,9,117,170,53,36
103,30,臺北市,313301,市立西松高中,47,94,0,0,8,17,33,607,542,259,141
103,30,臺北市,313302,市立中崙高中,41,101,4,6,7,18,30,537,589,192,225
103,30,臺北市,321301,私立祐德中學,14,15,13,12,2,12,15,350,276,168,123
103,30,臺北市,323301,市立松山高中,56,107,5,7,4,22,63,1212,1236,438,426
103,30,臺北市,323302,市立永春高中,42,82,3,7,2,20,48,847,891,295,299
103,30,臺北市,330301,國立師大附中,80,153,49,77,12,37,80,2074,1037,582,374
103,30,臺北市,331301,私立延平中學,64,71,0,0,7,14,33,980,548,346,179
103,30,臺北市,331302,私立金甌女中,36,98,5,13,9,10,58,0,2237,0,1219
103,30,臺北市,331304,私立復興實驗高中,32,44,0,0,5,10,9,199,221,71,57
103,30,臺北市,333301,市立和平高中,43,115,0,0,3,23,42,1015,514,274,267
103,30,臺北市,341301,私立中興中學,8,7,9,5,4,7,9,229,144,139,87
103,30,臺北市,341302,私立大同高中,27,28,26,22,7,8,27,867,467,258,128
103,30,臺北市,343301,市立中山女中,53,124,4,11,5,22,70,0,2709,0,968
103,30,臺北市,343302,市立大同高中,52,123,4,13,7,20,48,879,982,305,334
103,30,臺北市,343303,市立大直高中,48,88,0,0,9,17,30,581,501,316,117
103,30,臺北市,351301,私立強恕中學,14,25,9,23,7,11,32,503,346,167,156
103,30,臺北市,353301,市立建國中學,119,119,2,7,4,26,90,3599,0,1250,0
103,30,臺北市,353302,市立成功中學,75,104,0,0,5,20,70,2797,0,967,0
103,30,臺北市,353303,市立北一女中,59,127,11,15,5,23,74,0,2936,0,1016
103,30,臺北市,361301,私立靜修女中,21,104,0,0,4,9,41,0,1765,0,756
103,30,臺北市,363301,市立明倫高中,50,76,8,14,8,14,48,777,913,271,298
103,30,臺北市,363302,市立成淵高中,51,116,0,0,4,23,36,754,580,324,173
103,30,臺北市,371301,私立立人高中,8,2,8,5,2,6,3,58,35,36,26
103,30,臺北市,373301,市立華江高中,47,73,2,2,4,18,48,897,962,299,307
103,30,臺北市,373302,市立大理高中,46,71,0,0,9,13,27,490,513,168,172
103,30,臺北市,380301,國立政大附中,31,48,5,6,6,16,18,378,278,163,85
103,30,臺北市,381301,私立東山高中,63,83,0,0,5,22,40,1247,722,456,226
103,30,臺北市,381302,私立滬江高中,31,54,26,9,4,17,52,1164,731,414,400
103,30,臺北市,381303,私立大誠高中,22,28,10,18,2,11,26,358,366,167,156
103,30,臺北市,381304,私立再興中學,46,54,0,0,17,11,18,508,386,108,98
103,30,臺北市,381305,私立景文高中,59,75,5,9,8,27,57,1466,968,484,377
103,30,臺北市,383301,市立景美女中,43,112,0,0,6,20,60,0,2280,0,799
103,30,臺北市,383302,市立萬芳高中,53,121,1,2,5,22,33,571,680,195,204
103,30,臺北市,393301,市立南港高中,50,105,0,0,4,20,30,547,545,186,179
103,30,臺北市,393302,市立育成高中,54,97,0,0,8,16,60,1088,1140,258,333
103,30,臺北市,401301,私立文德女中,3,38,0,0,2,11,14,0,604,0,379
